corpus,baseline,n,delta_gen,wilcoxon_p,boot_ci_low,boot_ci_high,cohens_d,delta_ret,ear_llm_calls,base_llm_calls,llm_reduction_pct,ear_cost,base_cost,cost_reduction_pct
bash,simple,30,0.08,0.4071,-0.193,0.347,0.103,0.025,1.0,1.0,0.0,0.00741,0.00822,9.8
bash,reranked_simple,30,0.047,0.6782,-0.413,0.5,0.036,0.083,1.0,1.0,0.0,0.00741,0.00706,-5.0
bash,agentic,30,-0.08,0.6528,-0.4,0.247,-0.088,-0.133,1.0,3.67,72.7,0.00741,0.02288,67.6
bash,self_rag,30,0.227,0.3044,-0.187,0.653,0.188,1.158,1.0,3.5,71.4,0.00741,0.01033,28.3
bash,flare,30,-0.413,0.1632,-0.82,-0.033,-0.372,-0.567,1.0,3.0,66.7,0.00741,0.01337,44.6
coreutils,simple,40,0.1,0.5594,-0.065,0.29,0.174,0.025,1.0,1.0,0.0,0.00742,0.00831,10.8
coreutils,reranked_simple,40,0.115,0.6289,-0.185,0.435,0.112,-0.238,1.0,1.0,0.0,0.00742,0.00736,-0.8
coreutils,agentic,40,0.21,0.1502,-0.04,0.47,0.249,0.038,1.0,3.4,70.6,0.00742,0.02141,65.3
coreutils,self_rag,40,0.785,0.0001,0.48,1.09,0.788,2.537,1.0,3.15,68.3,0.00742,0.00523,-41.8
coreutils,flare,40,0.145,0.3381,-0.075,0.39,0.191,-0.288,1.0,3.0,66.7,0.00742,0.01339,44.6
make,simple,42,-0.143,0.3698,-0.367,0.052,-0.201,-0.214,1.0,1.0,0.0,0.00789,0.00864,8.8
make,reranked_simple,42,-0.029,1.0,-0.39,0.324,-0.024,0.006,1.0,1.0,0.0,0.00789,0.00764,-3.2
make,agentic,42,-0.305,0.0731,-0.59,-0.043,-0.33,-0.25,1.0,3.1,67.7,0.00789,0.01983,60.2
make,self_rag,42,0.159,0.4206,-0.198,0.516,0.132,0.714,1.0,3.67,72.7,0.00789,0.01263,37.6
make,flare,42,-0.219,0.2436,-0.524,0.067,-0.225,-0.333,1.0,3.0,66.7,0.00789,0.01413,44.2
POOLED,simple,112,0.004,0.8003,-0.125,0.125,0.005,-0.065,1.0,1.0,0.0,0.00759,0.00841,9.7
POOLED,reranked_simple,112,0.043,0.6149,-0.173,0.261,0.037,-0.06,1.0,1.0,0.0,0.00759,0.00738,-2.8
POOLED,agentic,112,-0.061,0.5377,-0.229,0.107,-0.067,-0.116,1.0,3.36,70.2,0.00759,0.02121,64.2
POOLED,self_rag,112,0.401,0.0004,0.186,0.614,0.345,1.484,1.0,3.44,70.9,0.00759,0.00937,19.0
POOLED,flare,112,-0.141,0.3011,-0.32,0.036,-0.147,-0.379,1.0,3.0,66.7,0.00759,0.01366,44.4
