corpus,system,n_inscope,n_total,gen_mean,gen_std,ret_mean,ret_std,overall_mean,llm_calls_mean,slm_calls_mean,gen_cost_mean,tokens_mean,wall_ms_mean,total_gen_cost,total_judge_cost
bash,simple,30,37,3.607,1.188,3.667,1.359,3.637,1.0,0.0,0.00822,1955.0,4118.0,0.2465,0.275
bash,reranked_simple,30,37,3.64,1.22,3.608,1.254,3.624,1.0,0.0,0.00706,1593.0,5156.0,0.2119,0.2539
bash,agentic,30,37,3.767,1.212,3.825,1.355,3.796,3.67,0.0,0.02288,5726.0,12087.0,0.6863,0.3017
bash,self_rag,30,37,3.46,0.973,2.533,1.766,2.997,3.5,0.0,0.01033,2583.0,8271.0,0.31,0.1986
bash,flare,30,37,4.1,1.127,4.258,0.973,4.179,3.0,0.0,0.01337,2790.0,10618.0,0.4012,0.2927
bash,ear_full,30,37,3.687,1.213,3.692,1.423,3.689,1.0,6.0,0.00741,1673.0,8625.0,0.2224,0.2558
coreutils,simple,40,48,4.185,0.965,3.969,1.4,4.077,1.0,0.0,0.00831,2065.0,4091.0,0.3326,0.3631
coreutils,reranked_simple,40,48,4.17,1.087,4.231,1.141,4.201,1.0,0.0,0.00736,1741.0,4976.0,0.2944,0.3419
coreutils,agentic,40,48,4.075,1.129,3.956,1.384,4.016,3.4,0.0,0.02141,5641.0,10735.0,0.8563,0.4065
coreutils,self_rag,40,48,3.5,0.641,1.456,0.951,2.478,3.15,0.0,0.00523,1111.0,6969.0,0.2093,0.2275
coreutils,flare,40,48,4.14,1.031,4.281,1.154,4.211,3.0,0.0,0.01339,2983.0,9995.0,0.5358,0.4003
coreutils,ear_full,40,48,4.285,0.915,3.994,1.277,4.139,1.0,6.0,0.00742,1756.0,7332.0,0.2968,0.3425
make,simple,42,50,4.229,1.053,4.268,1.191,4.248,1.0,0.0,0.00864,2036.0,4267.0,0.363,0.3777
make,reranked_simple,42,50,4.114,1.079,4.048,1.329,4.081,1.0,0.0,0.00764,1694.0,5053.0,0.3208,0.3581
make,agentic,42,50,4.39,1.01,4.304,1.172,4.347,3.1,0.0,0.01983,5077.0,10356.0,0.8327,0.418
make,self_rag,42,50,3.927,1.079,3.339,1.807,3.633,3.67,0.0,0.01263,3263.0,8461.0,0.5304,0.2892
make,flare,42,50,4.305,0.899,4.387,1.105,4.346,3.0,0.0,0.01413,2979.0,11156.0,0.5934,0.4176
make,ear_full,42,50,4.086,1.076,4.054,1.288,4.07,1.0,6.0,0.00789,1760.0,7806.0,0.3312,0.3578
